ID_Institution,ID_KG,picNumber,vatNumber,name,shortName,activityType,street,postCode,city,country,geolocation,organizationURL
,2173,,,IHK Zetis GmbH,,PRC,Europaallee 10,67657,Kaiserslautern,DE   ,,zetis.de
,1477,,,European Institute for Marine Studies,IUEM,HES,,29280 ,Plouzané,FR   ,,www-iuem.univ-brest.fr
,3797,,,University of Luxembourg,,HES,avenue de l'Université 2,4365 ,Esch-sur-Alzette,LU   ,,wwwen.uni.lu
,4832,,,Estação de Biologia Marinha do Funchal,EBMF,REC,"Cais do Carvão, Promenade da Orla Marítima do Funchal ",9000-107,Funchal,PT   ,,wwwarq.cm-funchal.pt/ciencia/index.php?option=com_content&view=article&id=222&Itemid=352
,3503,,,Regione Molise,,PUB,via Genova 11,86100 ,Campobasso,IT   ,,www3.regione.molise.it
,5389,,,"Clúster de Empresas de Energías Renovables, Medio Ambiente y Recursos Hídricos de las Islas Canarias",RICAM,OTH,León y Castillo,35004, Las Palmas de Gran Canaria,ES   ,,www3.gobiernodecanarias.org/aciisi/obidic/index.php?option=com_chronoconnectivity&view=connection&Itemid=107&task=cc_edit_data&cb=8
,6735,,,Manchester Metropolitan University,MMU,HES,All Saints Building,M15 6BH, Manchester,GB   ,,www2.mmu.ac.uk/
,2771,,,Győr-Sopron-Ebenfurti Railway Corp,GYSEV,PUB,,,,HU   ,,www2.gysev.hu
,5138,,,Danube Project Centre,INCS,REC,Dr Ivana Ribara 91,11070,Belgrade,RS   ,,www.zzps.rs/novo/index.php?jezik=sr&strana=404
,4748,,,West Pomeranian University of Technology,ZUT,,Piastow 17,70-310,SZCZECIN,PL   ,,www.zut.edu.pl
,6141,999909854,CHE110354546MWST,IBM RESEARCH GMBH,IBM,PRC,SAEUMERSTRASSE 4,8803,RUESCHLIKON,CH,"47.3099339,8.5446709",www.zurich.ibm.com
,5846,951285791,,ZUNIBAL SL,ZUNIBAL,PRC,IDORSOLO 1,48160,DERIO,ES,"43.2948377,-2.8881965",www.zunibal.com
,4142,,,Province of Zuid-Holland,,PUB,Zuid-Hollandplein 1,2596 AW,den Haag,NL   ,,www.zuid-holland.nl
,4262,,,Zuiderzeeland Regional Water Authority,ZZL,PUB,Lindelaan 20,8224 KT,Lelystad,NL   ,,www.zuiderzeeland.nl
,72,999624286,,ZENTRUM FUER SOZIALE INNOVATION,ZSI,REC,LINKE WIENZEILE 246,1150,WIEN,AT,,www.zsi.at
,5198,,,Institute of the Republic of Slovenia for Nature Conservation,ZRSVN IRSNC,,Tobačna ulica,1000,Ljubljana,SI   ,,www.zrsvn.si/en/default.asp
,5220,,,Slovenian Academy of Sciences and Arts; Scientific Research Centre,ZRC-SAZU,HES,Novi trg 2, 1000 ,Ljubljana,SI   ,,www.zrc-sazu.si
,3664,997980039,,ZOOMARINE ITALIA SPA,Zoomarine Italy,PRC,VIA CASABLANCA 61,00040,POMEZIA,IT,,www.zoomarine.it
,4892,997973055,PT502217235,MUNDO AQUATICO - PARQUES OCEANOGRAFICOS DE ENTRETENIMENTO EDUCATIVO SA,Zoomarine,PRC,Av. Paulo Sexto - Edificio Marvi LJ2 6B,1900 784,LISBOA,PT,"38.74366525,-9.15173641402486",www.zoomarine.com
,5686,972232456,,PATRONATO MUNICIPAL PARQUE ZOOLOGICO DE JEREZ,ZooBotánico Jerez,PUB,C/ Taxdirt s/n,11403,Jerez de la Frontera,ES,,www.zoobotanicojerez.es
,7135,998797167,,"Zoological Society of London, Institute of Zoology",ZSL,REC,Regent's Park,NW1 4RY,London,UK,"51.530293,-0.15379510307584215",www.zoo.cam.ac.uk/ioz/index.htm
,4261,998205855,,ZOCA CONTAINER SECURITY BV,ZOCA,PRC,BIRDIELAAN 96,8241 AW,LELYSTAD,NL,,www.zoca.nl
,2233,986128094,DE266278207,LEIBNIZ-ZENTRUM FUR MARINE TROPENFORSCHUNG (ZMT) GMBH,ZMT BREMEN,REC,FAHRENHEITSTRASSE 6,28359,BREMEN,DE,"53.10789835,8.846039643557337",www.zmt-bremen.de
,613,957592440,,ZHEJIANG OCEAN UNIVERSITY,ZOUC,HES,HAIYUAN ROAD 18 CHENGDONG SUB,316004,ZHOUSHAN,CN,,www.zjou.edu.cn/
,2509,,,Zuse Institute Berlin,ZIB Berlin,,Takustraße 7,14195,Berlin,DE   ,,www.zib.de
,4164,,,Safety Region South Holland South,VRZHZ,PUB,Romboutslaan 105,3312 KP,Dordrecht,NL   ,,www.zhzveilig.nl
